Validation MSE loss,Validation Penalty loss,epoch,step,Training MSE loss,Training Penalty loss
24.107194900512695,0.10066349059343338,0,48,,
,,0,48,99.53902435302734,0.09032749384641647
24.107194900512695,0.10066349059343338,1,97,,
,,1,97,29.237407684326172,0.09397009760141373
24.107194900512695,0.10066349059343338,2,146,,
,,2,146,29.237407684326172,0.09397009760141373
24.107194900512695,0.10066349059343338,3,195,,
,,3,195,29.237407684326172,0.09397009760141373
24.107194900512695,0.10066349059343338,4,244,,
,,4,244,29.237407684326172,0.09397009760141373
24.107194900512695,0.10066349059343338,5,293,,
,,5,293,29.237407684326172,0.09397009760141373
24.107194900512695,0.10066349059343338,6,342,,
,,6,342,29.237407684326172,0.09397009760141373
24.107194900512695,0.10066349059343338,7,391,,
,,7,391,29.237407684326172,0.09397009760141373
24.107194900512695,0.10066349059343338,8,440,,
,,8,440,29.237407684326172,0.09397009760141373
24.107194900512695,0.10066349059343338,9,489,,
,,9,489,29.237407684326172,0.09397009760141373
24.107194900512695,0.10066349059343338,10,538,,
,,10,538,29.237407684326172,0.09397009760141373
24.107194900512695,0.10066349059343338,11,587,,
,,11,587,29.237407684326172,0.09397009760141373
24.107194900512695,0.10066349059343338,12,636,,
,,12,636,29.237407684326172,0.09397009760141373
24.107194900512695,0.10066349059343338,13,685,,
,,13,685,29.237407684326172,0.09397009760141373
24.107194900512695,0.10066349059343338,14,734,,
,,14,734,29.237407684326172,0.09397009760141373
24.107194900512695,0.10066349059343338,15,783,,
,,15,783,29.237407684326172,0.09397009760141373
24.107194900512695,0.10066349059343338,16,832,,
,,16,832,29.237407684326172,0.09397009760141373
24.107194900512695,0.10066349059343338,17,881,,
,,17,881,29.237407684326172,0.09397009760141373
24.107194900512695,0.10066349059343338,18,930,,
,,18,930,29.237407684326172,0.09397009760141373
24.107194900512695,0.10066349059343338,19,979,,
,,19,979,29.237407684326172,0.09397009760141373
